,2018_Rank,City,State,Abbreviations,webpage,2018_Estimate,2010_Census,%Change,2016_land_area(sq mi),2016_population_density(sq mi),Location,latitude,longitude,White%,Black%
0,1,New York City,New York,NY,https://en.wikipedia.org/wiki/New_York_City,8398748,8175133,2.74,301.5,28317.0,40°39′49″N 73°56′19″W﻿ / ﻿40.6635°N 73.9387°W,40.663611,-73.938611,44.0,25.5
1,2,Los Angeles,California,CA,https://en.wikipedia.org/wiki/Los_Angeles,3990456,3792621,5.22,468.7,8484.0,34°01′10″N 118°24′39″W﻿ / ﻿34.0194°N 118.4108°W,34.019444,-118.41083,28.7,9.6
2,3,Chicago,Illinois,IL,https://en.wikipedia.org/wiki/Chicago,2705994,2695598,0.39,227.3,11900.0,41°50′15″N 87°40′54″W﻿ / ﻿41.8376°N 87.6818°W,41.8375,-87.681666,44.9,32.9
3,4,Houston,Texas,TX,https://en.wikipedia.org/wiki/Houston,2325502,2100263,10.72,637.5,3613.0,29°47′12″N 95°23′27″W﻿ / ﻿29.7866°N 95.3909°W,29.786666,-95.390833,25.6,25.7
4,5,Phoenix,Arizona,AZ,"https://en.wikipedia.org/wiki/Phoenix,_Arizona",1660272,1445632,14.85,517.6,3120.0,33°34′20″N 112°05′24″W﻿ / ﻿33.5722°N 112.0901°W,33.572222,-112.08999,92.3,6.5
5,6,Philadelphia,Pennsylvania,PA,https://en.wikipedia.org/wiki/Philadelphia,1584138,1526006,3.81,134.2,11683.0,40°00′34″N 75°08′00″W﻿ / ﻿40.0094°N 75.1333°W,40.009444,-75.133333,41.6,42.6
6,7,San Antonio,Texas,TX,https://en.wikipedia.org/wiki/San_Antonio,1532233,1327407,15.43,461.0,3238.0,29°28′21″N 98°31′30″W﻿ / ﻿29.4724°N 98.5251°W,29.472499,-98.525,72.6,6.9
7,8,San Diego,California,CA,https://en.wikipedia.org/wiki/San_Diego,1425976,1307402,9.07,325.2,4325.0,32°48′55″N 117°08′06″W﻿ / ﻿32.8153°N 117.1350°W,32.815277,-117.135,58.9,6.7
8,9,Dallas,Texas,TX,https://en.wikipedia.org/wiki/Dallas,1345047,1197816,12.29,340.9,3866.0,32°47′36″N 96°45′59″W﻿ / ﻿32.7933°N 96.7665°W,32.793333,-96.766388,50.7,24.7
9,10,San Jose,California,CA,"https://en.wikipedia.org/wiki/San_Jose,_California",1030119,945942,8.9,177.5,5777.0,37°17′48″N 121°49′08″W﻿ / ﻿37.2967°N 121.8189°W,37.296666,-121.81888,42.8,3.2
10,11,Austin,Texas,TX,"https://en.wikipedia.org/wiki/Austin,_Texas",964254,790390,22.0,312.7,3031.0,30°18′14″N 97°45′16″W﻿ / ﻿30.3039°N 97.7544°W,30.303888,-97.754444,68.3,8.1
11,12,Jacksonville,Florida,FL,"https://en.wikipedia.org/wiki/Jacksonville,_Florida",903889,821784,9.99,747.4,1178.0,30°20′13″N 81°39′42″W﻿ / ﻿30.3369°N 81.6616°W,30.336944,-81.661666,59.4,30.7
12,13,Fort Worth,Texas,TX,"https://en.wikipedia.org/wiki/Fort_Worth,_Texas",895008,741206,20.75,342.9,2491.0,32°46′53″N 97°20′48″W﻿ / ﻿32.7815°N 97.3467°W,32.781388,-97.346666,61.6,18.9
13,14,Columbus,Ohio,OH,"https://en.wikipedia.org/wiki/Columbus,_Ohio",892533,787033,13.4,218.5,3936.0,39°59′07″N 82°59′05″W﻿ / ﻿39.9852°N 82.9848°W,39.985277,-82.984722,61.5,28.0
14,15,San Francisco,California,CA,https://en.wikipedia.org/wiki/San_Francisco,883305,805235,9.7,46.9,18569.0,37°43′38″N 123°01′56″W﻿ / ﻿37.7272°N 123.0322°W,37.727222,-123.03222,48.5,6.1
15,16,Charlotte,North Carolina,NC,"https://en.wikipedia.org/wiki/Charlotte,_North_Carolina",872498,731424,19.29,305.4,2757.0,35°12′28″N 80°49′52″W﻿ / ﻿35.2078°N 80.8310°W,35.207777,-80.831111,45.1,35.0
16,17,Indianapolis,Indiana,IN,https://en.wikipedia.org/wiki/Indianapolis,867125,820445,5.69,361.5,2366.0,39°46′36″N 86°08′45″W﻿ / ﻿39.7767°N 86.1459°W,39.776666,-86.145833,61.6,28.0
17,18,Seattle,Washington,WA,https://en.wikipedia.org/wiki/Seattle,744955,608660,22.39,83.8,8405.0,47°37′14″N 122°21′03″W﻿ / ﻿47.6205°N 122.3509°W,47.620555,-122.35083,69.5,7.9
18,19,Denver,Colorado,CO,https://en.wikipedia.org/wiki/Denver,716492,600158,19.38,153.3,4521.0,39°45′43″N 104°52′52″W﻿ / ﻿39.7619°N 104.8811°W,39.761944,-104.88111,68.9,10.2
19,20,"Washington, D.C.",District of Columbia,DC,"https://en.wikipedia.org/wiki/Washington,_D.C.",702455,601723,16.74,61.1,11148.0,38°54′15″N 77°01′02″W﻿ / ﻿38.9041°N 77.0172°W,38.904166,-77.017222,38.5,50.7
20,21,Boston,Massachusetts,MA,https://en.wikipedia.org/wiki/Boston,694583,617594,12.47,48.3,13938.0,42°19′55″N 71°01′13″W﻿ / ﻿42.3320°N 71.0202°W,42.331944,-71.020277,62.1,24.7
21,22,El Paso,Texas,TX,"https://en.wikipedia.org/wiki/El_Paso,_Texas",682669,649121,5.17,256.8,2660.0,31°50′54″N 106°25′37″W﻿ / ﻿31.8484°N 106.4270°W,31.848333,-106.42694,92.0,3.9
22,23,Detroit,Michigan,MI,https://en.wikipedia.org/wiki/Detroit,672662,713777,-5.76,138.8,4847.0,42°22′59″N 83°06′08″W﻿ / ﻿42.3830°N 83.1022°W,42.383055,-83.102222,10.6,82.7
23,24,Nashville,Tennessee,TN,"https://en.wikipedia.org/wiki/Nashville,_Tennessee",669053,601222,11.28,475.9,1388.0,36°10′18″N 86°47′06″W﻿ / ﻿36.1718°N 86.7850°W,36.171666,-86.785,65.2,28.1
24,25,Portland,Oregon,OR,"https://en.wikipedia.org/wiki/Portland,_Oregon",653115,583776,11.88,133.5,4793.0,45°32′13″N 122°39′00″W﻿ / ﻿45.5370°N 122.6500°W,45.536944,-122.65,76.1,6.3
25,26,Memphis,Tennessee,TN,"https://en.wikipedia.org/wiki/Memphis,_Tennessee",650618,646889,0.58,317.4,2056.0,35°06′10″N 89°58′39″W﻿ / ﻿35.1028°N 89.9774°W,35.102777,-89.9775,29.4,63.3
26,27,Oklahoma City,Oklahoma,OK,https://en.wikipedia.org/wiki/Oklahoma_City,649021,579999,11.9,606.3,1053.0,35°28′02″N 97°30′49″W﻿ / ﻿35.4671°N 97.5137°W,35.467222,-97.513611,62.7,15.1
27,28,Las Vegas,Nevada,NV,https://en.wikipedia.org/wiki/Las_Vegas,644644,583756,10.43,134.4,4709.0,36°13′45″N 115°15′36″W﻿ / ﻿36.2292°N 115.2601°W,36.229166,-115.26,62.1,11.1
28,29,Louisville,Kentucky,KY,"https://en.wikipedia.org/wiki/Louisville,_Kentucky",620118,597337,3.81,263.5,2339.0,38°09′55″N 85°38′51″W﻿ / ﻿38.1654°N 85.6474°W,38.165277,-85.6475,84.3,35.2
29,30,Baltimore,Maryland,MD,https://en.wikipedia.org/wiki/Baltimore,602495,620961,-2.97,80.9,7598.0,39°18′00″N 76°36′38″W﻿ / ﻿39.3000°N 76.6105°W,39.3,-76.610555,29.6,63.7
30,31,Milwaukee,Wisconsin,WI,https://en.wikipedia.org/wiki/Milwaukee,592025,594833,-0.47,96.2,6186.0,43°03′48″N 87°58′00″W﻿ / ﻿43.0633°N 87.9667°W,43.063333,-87.966666,37.0,40.0
31,32,Albuquerque,New Mexico,NM,"https://en.wikipedia.org/wiki/Albuquerque,_New_Mexico",560218,545852,2.63,188.2,2972.0,35°06′20″N 106°38′51″W﻿ / ﻿35.1056°N 106.6474°W,35.105555,-106.6475,69.7,3.3
32,33,Tucson,Arizona,AZ,"https://en.wikipedia.org/wiki/Tucson,_Arizona",545975,520116,4.97,230.8,2299.0,32°09′11″N 110°52′14″W﻿ / ﻿32.1531°N 110.8706°W,32.153055,-110.87055,69.7,47.2
33,34,Fresno,California,CA,"https://en.wikipedia.org/wiki/Fresno,_California",530093,494665,7.16,114.4,4563.0,36°47′01″N 119°47′36″W﻿ / ﻿36.7836°N 119.7934°W,36.783611,-119.79333,50.6,8.3
34,35,Mesa,Arizona,AZ,"https://en.wikipedia.org/wiki/Mesa,_Arizona",508958,439041,15.92,137.9,3514.0,33°24′07″N 111°43′03″W﻿ / ﻿33.4019°N 111.7174°W,33.401944,-111.7175,81.6,27.4
35,36,Sacramento,California,CA,"https://en.wikipedia.org/wiki/Sacramento,_California",508529,466488,9.01,97.9,5059.0,38°34′00″N 121°28′07″W﻿ / ﻿38.5666°N 121.4686°W,38.566666,-121.46861,45.0,14.6
36,37,Atlanta,Georgia,GA,https://en.wikipedia.org/wiki/Atlanta,498044,420003,18.58,133.5,3539.0,33°45′46″N 84°25′22″W﻿ / ﻿33.7629°N 84.4227°W,33.762777,-84.422777,41.3,51.4
37,38,Kansas City,Missouri,MO,"https://en.wikipedia.org/wiki/Kansas_City,_Missouri",491918,459787,6.99,315.0,1528.0,39°07′30″N 94°33′04″W﻿ / ﻿39.1251°N 94.5510°W,39.125,-94.551111,59.2,29.9
38,39,Colorado Springs,Colorado,CO,"https://en.wikipedia.org/wiki/Colorado_Springs,_Colorado",472688,416427,13.51,195.6,2378.0,38°52′02″N 104°45′39″W﻿ / ﻿38.8673°N 104.7607°W,38.867222,-104.76083,78.8,6.6
39,40,Miami,Florida,FL,https://en.wikipedia.org/wiki/Miami,470914,399457,17.89,36.0,12599.0,25°46′31″N 80°12′31″W﻿ / ﻿25.7752°N 80.2086°W,25.775277,-80.208611,11.9,19.2
40,41,Raleigh,North Carolina,NC,"https://en.wikipedia.org/wiki/Raleigh,_North_Carolina",469298,403892,16.19,145.1,3163.0,35°49′50″N 78°38′30″W﻿ / ﻿35.8306°N 78.6418°W,35.830555,-78.641666,57.5,29.3
41,42,Omaha,Nebraska,NE,"https://en.wikipedia.org/wiki/Omaha,_Nebraska",468262,408958,14.5,133.2,3356.0,41°15′52″N 96°02′42″W﻿ / ﻿41.2644°N 96.0451°W,41.264444,-96.045,73.1,13.7
42,43,Long Beach,California,CA,"https://en.wikipedia.org/wiki/Long_Beach,_California",467354,462257,1.1,50.3,9347.0,33°48′33″N 118°09′19″W﻿ / ﻿33.8092°N 118.1553°W,33.809166,-118.15527,46.1,13.5
43,44,Virginia Beach,Virginia,VA,"https://en.wikipedia.org/wiki/Virginia_Beach,_Virginia",450189,437994,2.78,244.7,1850.0,36°46′48″N 76°01′31″W﻿ / ﻿36.7800°N 76.0252°W,36.78,-76.025277,67.7,19.6
44,45,Oakland,California,CA,"https://en.wikipedia.org/wiki/Oakland,_California",429082,390724,9.82,55.9,7514.0,37°46′11″N 122°13′33″W﻿ / ﻿37.7698°N 122.2257°W,37.769722,-122.22583,34.5,28.0
45,46,Minneapolis,Minnesota,MN,https://en.wikipedia.org/wiki/Minneapolis,425403,382578,11.19,54.0,7660.0,44°57′48″N 93°16′06″W﻿ / ﻿44.9633°N 93.2683°W,44.963333,-93.268333,63.8,18.6
46,47,Tulsa,Oklahoma,OK,"https://en.wikipedia.org/wiki/Tulsa,_Oklahoma",400669,391906,2.24,196.8,2048.0,36°07′40″N 95°54′08″W﻿ / ﻿36.1279°N 95.9023°W,36.127777,-95.902222,62.6,15.6
47,48,Arlington,Texas,TX,"https://en.wikipedia.org/wiki/Arlington,_Texas",398112,365438,8.94,95.8,4100.0,32°42′03″N 97°07′29″W﻿ / ﻿32.7007°N 97.1247°W,32.700833,-97.124722,59.0,18.8
